Apr 12 21:50:29 newdvland lawninfo: USER: GS8VhEXOv+tbJZT4EX09iW9sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 166-140, AUTH: cache
Apr 12 21:50:30 newdvland lawninfo: USER: GS8VhEXOv+tbJZT4EX0ru99sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 200-14, AUTH: cache
Apr 12 21:50:32 newdvland lawninfo: USER: GS8VhEXOv+t4EX0ru99sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 200-14, AUTH: cache
Apr 12 21:50:34 newdvland lawninfo: USER: GS8VhEXJZT4EX0ru99sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 200-14, AUTH: cache
Apr 12 21:55:30 newdvland lawninfo: USER: GXOvJZT4EX0ru99sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 200-14, AUTH: cache
Apr 12 21:54:30 newdvland lawninfo: USER: GS8XOv+tbJZT4EX0ru9iW9sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 200-15, AUTH: cache
Apr 12 22:10:30 newdvland lawninfo: USER: 8VhEXOv+tbJZT4EX0ru9iW9sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 166-140, AUTH: cache
Apr 12 23:15:28 newdvland lawninfo: USER: GS8VhEXOv+tbJ0ru9iW9sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 166-41, AUTH: cache
Apr 12 23:16:33 newdvland lawninfo: USER: GS8VhEX0ru9iW9sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 166-12, AUTH: cache
Apr 12 23:45:30 newdvland lawninfo: USER: GS8VhEXOv+tbJZT4EX0ru9iW9sC4i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 170-40, AUTH: cache
Apr 12 23:48:30 newdvland lawninfo: USER: GS8ZT4EX0ru9iW9sC41i2N, MAC: bc:92:6b:+X:RP:tn, SSID: GTwifi, VLAN: 316, IP: 128.61.30.212, APMAC: 08:cc:68:db:8d:30 APNAME: 166-1, AUTH: cache
